DATE,Average expenditure 35 - 44
2003-01,47444
2003-02,47713
2003-03,47982
2003-04,48251
2003-05,48520
2003-06,48789
2003-07,49058
2003-08,49327
2003-09,49596
2003-10,49865
2003-11,50134
2003-12,50403
2004-01,50801
2004-02,51200
2004-03,51599
2004-04,51998
2004-05,52397
2004-06,52796
2004-07,53195
2004-08,53594
2004-09,53993
2004-10,54392
2004-11,54791
2004-12,55190
2005-01,55380
2005-02,55570
2005-03,55760
2005-04,55950
2005-05,56140
2005-06,56330
2005-07,56520
2005-08,56710
2005-09,56900
2005-10,57090
2005-11,57280
2005-12,57470
2006-01,57598
2006-02,57720
2006-03,57842
2006-04,57964
2006-05,58086
2006-06,58208
2006-07,58330
2006-08,58452
2006-09,58574
2006-10,58696
2006-11,58818
2006-12,58940
2007-01,58924
2007-02,58914
2007-03,58904
2007-04,58894
2007-05,58884
2007-06,58874
2007-07,58864
2007-08,58854
2007-09,58844
2007-10,58834
2007-11,58824
2007-12,58814
2008-01,58682
2008-02,58556
2008-03,58430
2008-04,58304
2008-05,58178
2008-06,58052
2008-07,57926
2008-08,57800
2008-09,57674
2008-10,57548
2008-11,57422
2008-12,57296
2009-01,57188
2009-02,57075
2009-03,56962
2009-04,56849
2009-05,56736
2009-06,56623
2009-07,56510
2009-08,56397
2009-09,56284
2009-10,56171
2009-11,56058
2009-12,55945
2010-01,56056
2010-02,56166
2010-03,56276
2010-04,56386
2010-05,56496
2010-06,56606
2010-07,56716
2010-08,56826
2010-09,56936
2010-10,57046
2010-11,57156
2010-12,57266
2011-01,57337
2011-02,57403
2011-03,57469
2011-04,57535
2011-05,57601
2011-06,57667
2011-07,57733
2011-08,57799
2011-09,57865
2011-10,57931
2011-11,57997
2011-12,58063
2012-01,58129
2012-02,58189
2012-03,58249
2012-04,58309
2012-05,58369
2012-06,58429
2012-07,58489
2012-08,58549
2012-09,58609
2012-10,58669
2012-11,58729
2012-12,58789
2013-01,59095
2013-02,59406
2013-03,59717
2013-04,60028
2013-05,60339
2013-06,60650
2013-07,60961
2013-08,61272
2013-09,61583
2013-10,61894
2013-11,62205
2013-12,62516
2014-01,62747
2014-02,62982
2014-03,63217
2014-04,63452
2014-05,63687
2014-06,63922
2014-07,64157
2014-08,64392
2014-09,64627
2014-10,64862
2014-11,65097
2014-12,65332
2015-01,65426
2015-02,65518
2015-03,65610
2015-04,65702
2015-05,65794
2015-06,65886
2015-07,65978
2015-08,66070
2015-09,66162
2015-10,66254
2015-11,66346
2015-12,66438
2016-01,66660
2016-02,66876
2016-03,67092
2016-04,67308
2016-05,67524
2016-06,67740
2016-07,67956
2016-08,68172
2016-09,68388
2016-10,68604
2016-11,68820
2016-12,69036
2017-01,69214
2017-02,69394
2017-03,69574
2017-04,69754
2017-05,69934
2017-06,70114
2017-07,70294
2017-08,70474
2017-09,70654
2017-10,70834
2017-11,71014
2017-12,71194
2018-01,71506
2018-02,71814
2018-03,72122
2018-04,72430
2018-05,72738
2018-06,73046
2018-07,73354
2018-08,73662
2018-09,73970
2018-10,74278
2018-11,74586
2018-12,74894
2019-01,74829
2019-02,74768
2019-03,74707
2019-04,74646
2019-05,74585
2019-06,74524
2019-07,74463
2019-08,74402
2019-09,74341
2019-10,74280
2019-11,74219
2019-12,74158
2020-01,74624
2020-02,75087
2020-03,75550
2020-04,76013
2020-05,76476
2020-06,76939
2020-07,77402
2020-08,77865
2020-09,78328
2020-10,78791
2020-11,79254
2020-12,79717
2021-01,80240
2021-02,80768
2021-03,81296
2021-04,81824
2021-05,82352
2021-06,82880
2021-07,83408
2021-08,83936
2021-09,84464
2021-10,84992
2021-11,85520
2021-12,86048
