DATE,Industrial production
2003-01,91.1355
2003-02,91.2502
2003-03,91.0059
2003-04,90.4281
2003-05,90.4073
2003-06,90.5218
2003-07,90.9896
2003-08,90.7858
2003-09,91.3829
2003-10,91.5005
2003-11,92.1265
2003-12,92.1722
2004-01,92.327
2004-02,92.8873
2004-03,92.5325
2004-04,92.9096
2004-05,93.5838
2004-06,92.8621
2004-07,93.5511
2004-08,93.6328
2004-09,93.7418
2004-10,94.5671
2004-11,94.8
2004-12,95.5426
2005-01,95.8831
2005-02,96.5616
2005-03,96.4371
2005-04,96.628
2005-05,96.7306
2005-06,97.1488
2005-07,96.8383
2005-08,97.1603
2005-09,95.2729
2005-10,96.4383
2005-11,97.4951
2005-12,97.9788
2006-01,98.1305
2006-02,98.1779
2006-03,98.3898
2006-04,98.6769
2006-05,98.7052
2006-06,99.0427
2006-07,98.9804
2006-08,99.4106
2006-09,99.2207
2006-10,99.1253
2006-11,99.0969
2006-12,100.1122
2007-01,99.7571
2007-02,100.7275
2007-03,100.9023
2007-04,101.5874
2007-05,101.6299
2007-06,101.6482
2007-07,101.4925
2007-08,101.6874
2007-09,101.9398
2007-10,101.6345
2007-11,102.2068
2007-12,102.2604
2008-01,102.14
2008-02,101.7671
2008-03,101.4355
2008-04,100.7424
2008-05,100.132
2008-06,99.8651
2008-07,99.4214
2008-08,97.8448
2008-09,93.559
2008-10,94.4956
2008-11,93.2689
2008-12,90.628
2009-01,88.3811
2009-02,87.8412
2009-03,86.4794
2009-04,85.7883
2009-05,84.9516
2009-06,84.6928
2009-07,85.7044
2009-08,86.6617
2009-09,87.4033
2009-10,87.6035
2009-11,87.9559
2009-12,88.2468
2010-01,89.1911
2010-02,89.4972
2010-03,90.1419
2010-04,90.4591
2010-05,91.702
2010-06,91.8997
2010-07,92.2522
2010-08,92.5899
2010-09,92.8564
2010-10,92.6037
2010-11,92.6773
2010-12,93.5851
2011-01,93.3944
2011-02,92.993
2011-03,93.982
2011-04,93.6525
2011-05,93.7775
2011-06,94.0467
2011-07,94.4931
2011-08,95.0969
2011-09,95.0281
2011-10,95.6924
2011-11,95.6913
2011-12,96.1938
2012-01,96.779
2012-02,97.0959
2012-03,96.5919
2012-04,97.2942
2012-05,97.4853
2012-06,97.4959
2012-07,97.6922
2012-08,97.3061
2012-09,97.2383
2012-10,97.5425
2012-11,97.934
2012-12,98.1984
2013-01,98.2029
2013-02,98.6733
2013-03,99.0788
2013-04,98.9658
2013-05,99.0567
2013-06,99.2424
2013-07,98.9258
2013-08,99.5059
2013-09,100.0391
2013-10,99.9203
2013-11,100.1661
2013-12,100.3777
2014-01,99.999
2014-02,100.7583
2014-03,101.7767
2014-04,101.8425
2014-05,102.2594
2014-06,102.5986
2014-07,102.8163
2014-08,102.6562
2014-09,102.9776
2014-10,102.9892
2014-11,103.6402
2014-12,103.6345
2015-01,102.8239
2015-02,102.1513
2015-03,101.824
2015-04,101.244
2015-05,100.783
2015-06,100.4781
2015-07,101.1052
2015-08,100.9442
2015-09,100.6507
2015-10,100.1871
2015-11,99.4382
2015-12,98.939
2016-01,99.4558
2016-02,98.9136
2016-03,98.1907
2016-04,98.4669
2016-05,98.2518
2016-06,98.7275
2016-07,98.836
2016-08,98.7554
2016-09,98.6596
2016-10,98.7322
2016-11,98.3452
2016-12,99.0314
2017-01,98.7987
2017-02,98.4322
2017-03,99.0663
2017-04,100.0082
2017-05,100.1286
2017-06,100.3233
2017-07,100.0947
2017-08,99.6642
2017-09,99.7686
2017-10,100.9981
2017-11,101.2597
2017-12,101.4573
2018-01,101.3939
2018-02,101.7656
2018-03,102.2441
2018-04,103.3468
2018-05,102.3911
2018-06,103.1924
2018-07,103.3334
2018-08,104.0807
2018-09,104.1181
2018-10,103.9397
2018-11,104.0007
2018-12,103.9946
2019-01,103.373
2019-02,102.8292
2019-03,102.8286
2019-04,102.2481
2019-05,102.4192
2019-06,102.4893
2019-07,102.0236
2019-08,102.7754
2019-09,102.5315
2019-10,101.6022
2019-11,102.148
2019-12,101.884
2020-01,101.3768
2020-02,101.633
2020-03,97.6672
2020-04,84.5979
2020-05,85.9732
2020-06,91.5625
2020-07,95.0144
2020-08,95.8881
2020-09,95.8444
2020-10,96.4292
2020-11,96.8564
2020-12,97.9754
2021-01,98.7836
2021-02,95.3744
2021-03,98.1351
2021-04,98.2886
2021-05,99.1508
2021-06,99.5096
2021-07,100.1231
2021-08,100.1255
2021-09,99.0614
2021-10,100.3045
2021-11,101.1971
2021-12,100.886
