DATE,INDPRO
01-01-2003,91.1355
01-02-2003,91.2502
01-03-2003,91.0059
01-04-2003,90.4281
01-05-2003,90.4073
01-06-2003,90.5218
01-07-2003,90.9896
01-08-2003,90.7858
01-09-2003,91.3829
01-10-2003,91.5005
01-11-2003,92.1265
01-12-2003,92.1722
01-01-2004,92.327
01-02-2004,92.8873
01-03-2004,92.5325
01-04-2004,92.9096
01-05-2004,93.5838
01-06-2004,92.8621
01-07-2004,93.5511
01-08-2004,93.6328
01-09-2004,93.7418
01-10-2004,94.5671
01-11-2004,94.8
01-12-2004,95.5426
01-01-2005,95.8831
01-02-2005,96.5616
01-03-2005,96.4371
01-04-2005,96.628
01-05-2005,96.7306
01-06-2005,97.1488
01-07-2005,96.8383
01-08-2005,97.1603
01-09-2005,95.2729
01-10-2005,96.4383
01-11-2005,97.4951
01-12-2005,97.9788
01-01-2006,98.1305
01-02-2006,98.1779
01-03-2006,98.3898
01-04-2006,98.6769
01-05-2006,98.7052
01-06-2006,99.0427
01-07-2006,98.9804
01-08-2006,99.4106
01-09-2006,99.2207
01-10-2006,99.1253
01-11-2006,99.0969
01-12-2006,100.1122
01-01-2007,99.7571
01-02-2007,100.7275
01-03-2007,100.9023
01-04-2007,101.5874
01-05-2007,101.6299
01-06-2007,101.6482
01-07-2007,101.4925
01-08-2007,101.6874
01-09-2007,101.9398
01-10-2007,101.6345
01-11-2007,102.2068
01-12-2007,102.2604
01-01-2008,102.14
01-02-2008,101.7671
01-03-2008,101.4355
01-04-2008,100.7424
01-05-2008,100.132
01-06-2008,99.8651
01-07-2008,99.4214
01-08-2008,97.8448
01-09-2008,93.559
01-10-2008,94.4956
01-11-2008,93.2689
01-12-2008,90.628
01-01-2009,88.3811
01-02-2009,87.8412
01-03-2009,86.4794
01-04-2009,85.7883
01-05-2009,84.9516
01-06-2009,84.6928
01-07-2009,85.7044
01-08-2009,86.6617
01-09-2009,87.4033
01-10-2009,87.6035
01-11-2009,87.9559
01-12-2009,88.2468
01-01-2010,89.1911
01-02-2010,89.4972
01-03-2010,90.1419
01-04-2010,90.4591
01-05-2010,91.702
01-06-2010,91.8997
01-07-2010,92.2522
01-08-2010,92.5899
01-09-2010,92.8564
01-10-2010,92.6037
01-11-2010,92.6773
01-12-2010,93.5851
01-01-2011,93.3944
01-02-2011,92.993
01-03-2011,93.982
01-04-2011,93.6525
01-05-2011,93.7775
01-06-2011,94.0467
01-07-2011,94.4931
01-08-2011,95.0969
01-09-2011,95.0281
01-10-2011,95.6924
01-11-2011,95.6913
01-12-2011,96.1938
01-01-2012,96.779
01-02-2012,97.0959
01-03-2012,96.5919
01-04-2012,97.2942
01-05-2012,97.4853
01-06-2012,97.4959
01-07-2012,97.6922
01-08-2012,97.3061
01-09-2012,97.2383
01-10-2012,97.5425
01-11-2012,97.934
01-12-2012,98.1984
01-01-2013,98.2029
01-02-2013,98.6733
01-03-2013,99.0788
01-04-2013,98.9658
01-05-2013,99.0567
01-06-2013,99.2424
01-07-2013,98.9258
01-08-2013,99.5059
01-09-2013,100.0391
01-10-2013,99.9203
01-11-2013,100.1661
01-12-2013,100.3777
01-01-2014,99.999
01-02-2014,100.7583
01-03-2014,101.7767
01-04-2014,101.8425
01-05-2014,102.2594
01-06-2014,102.5986
01-07-2014,102.8163
01-08-2014,102.6562
01-09-2014,102.9776
01-10-2014,102.9892
01-11-2014,103.6402
01-12-2014,103.6345
01-01-2015,102.8239
01-02-2015,102.1513
01-03-2015,101.824
01-04-2015,101.244
01-05-2015,100.783
01-06-2015,100.4781
01-07-2015,101.1052
01-08-2015,100.9442
01-09-2015,100.6507
01-10-2015,100.1871
01-11-2015,99.4382
01-12-2015,98.939
01-01-2016,99.4558
01-02-2016,98.9136
01-03-2016,98.1907
01-04-2016,98.4669
01-05-2016,98.2518
01-06-2016,98.7275
01-07-2016,98.836
01-08-2016,98.7554
01-09-2016,98.6596
01-10-2016,98.7322
01-11-2016,98.3452
01-12-2016,99.0314
01-01-2017,98.7987
01-02-2017,98.4322
01-03-2017,99.0663
01-04-2017,100.0082
01-05-2017,100.1286
01-06-2017,100.3233
01-07-2017,100.0947
01-08-2017,99.6642
01-09-2017,99.7686
01-10-2017,100.9981
01-11-2017,101.2597
01-12-2017,101.4573
01-01-2018,101.3939
01-02-2018,101.7656
01-03-2018,102.2441
01-04-2018,103.3468
01-05-2018,102.3911
01-06-2018,103.1924
01-07-2018,103.3334
01-08-2018,104.0807
01-09-2018,104.1181
01-10-2018,103.9397
01-11-2018,104.0007
01-12-2018,103.9946
01-01-2019,103.373
01-02-2019,102.8292
01-03-2019,102.8286
01-04-2019,102.2481
01-05-2019,102.4192
01-06-2019,102.4893
01-07-2019,102.0236
01-08-2019,102.7754
01-09-2019,102.5315
01-10-2019,101.6022
01-11-2019,102.148
01-12-2019,101.884
01-01-2020,101.3768
01-02-2020,101.633
01-03-2020,97.6672
01-04-2020,84.5979
01-05-2020,85.9732
01-06-2020,91.5625
01-07-2020,95.0144
01-08-2020,95.8881
01-09-2020,95.8444
01-10-2020,96.4292
