DATE,CXUTOTALEXPLB0409M
1984-01-01,11122
1985-01-01,13012
1986-01-01,12198
1987-01-01,12230
1988-01-01,13339
1989-01-01,15919
1990-01-01,15450
1991-01-01,15782
1992-01-01,17794
1993-01-01,18350
1994-01-01,19280
1995-01-01,18572
1996-01-01,19603
1997-01-01,20279
1998-01-01,20987
1999-01-01,22884
2000-01-01,21908
2001-01-01,23099
2002-01-01,23759
2003-01-01,25016
2004-01-01,25763
2005-01-01,27018
2006-01-01,28904
2007-01-01,30414
2008-01-01,31692
2009-01-01,31676
2010-01-01,31529
2011-01-01,32688
2012-01-01,33530
2013-01-01,34382
2014-01-01,36673
2015-01-01,38123
2016-01-01,38691
2017-01-01,41849
2018-01-01,43181
2019-01-01,43623
2020-01-01,40814
2021-01-01,45820
2022-01-01,53481
