DATE,UNDCONTSA
01-01-2003,1049
01-02-2003,1044
01-03-2003,1044
01-04-2003,1043
01-05-2003,1047
01-06-2003,1064
01-07-2003,1078
01-08-2003,1102
01-09-2003,1121
01-10-2003,1135
01-11-2003,1158
01-12-2003,1183
01-01-2004,1191
01-02-2004,1197
01-03-2004,1219
01-04-2004,1222
01-05-2004,1233
01-06-2004,1229
01-07-2004,1247
01-08-2004,1238
01-09-2004,1247
01-10-2004,1264
01-11-2004,1268
01-12-2004,1280
01-01-2005,1302
01-02-2005,1322
01-03-2005,1311
01-04-2005,1324
01-05-2005,1322
01-06-2005,1329
01-07-2005,1338
01-08-2005,1356
01-09-2005,1377
01-10-2005,1376
01-11-2005,1395
01-12-2005,1405
01-01-2006,1424
01-02-2006,1423
01-03-2006,1423
01-04-2006,1401
01-05-2006,1409
01-06-2006,1383
01-07-2006,1363
01-08-2006,1339
01-09-2006,1317
01-10-2006,1283
01-11-2006,1265
01-12-2006,1247
01-01-2007,1217
01-02-2007,1206
01-03-2007,1192
01-04-2007,1181
01-05-2007,1164
01-06-2007,1161
01-07-2007,1144
01-08-2007,1123
01-09-2007,1108
01-10-2007,1096
01-11-2007,1080
01-12-2007,1059
01-01-2008,1041
01-02-2008,1025
01-03-2008,1014
01-04-2008,1009
01-05-2008,991
01-06-2008,975
01-07-2008,955
01-08-2008,936
01-09-2008,904
01-10-2008,876
01-11-2008,842
01-12-2008,806
01-01-2009,783
01-02-2009,756
01-03-2009,717
01-04-2009,677
01-05-2009,650
01-06-2009,627
01-07-2009,611
01-08-2009,588
01-09-2009,576
01-10-2009,554
01-11-2009,532
01-12-2009,517
01-01-2010,501
01-02-2010,493
01-03-2010,492
01-04-2010,488
01-05-2010,476
01-06-2010,447
01-07-2010,443
01-08-2010,444
01-09-2010,439
01-10-2010,436
01-11-2010,431
01-12-2010,427
01-01-2011,431
01-02-2011,424
01-03-2011,420
01-04-2011,417
01-05-2011,415
01-06-2011,416
01-07-2011,417
01-08-2011,414
01-09-2011,417
01-10-2011,422
01-11-2011,433
01-12-2011,434
01-01-2012,441
01-02-2012,450
01-03-2012,458
01-04-2012,463
01-05-2012,474
01-06-2012,486
01-07-2012,490
01-08-2012,495
01-09-2012,511
01-10-2012,520
01-11-2012,534
01-12-2012,551
01-01-2013,559
01-02-2013,581
01-03-2013,596
01-04-2013,606
01-05-2013,620
01-06-2013,629
01-07-2013,640
01-08-2013,654
01-09-2013,661
01-10-2013,670
01-11-2013,687
01-12-2013,707
01-01-2014,713
01-02-2014,714
01-03-2014,726
01-04-2014,743
01-05-2014,754
01-06-2014,771
01-07-2014,790
01-08-2014,793
01-09-2014,797
01-10-2014,806
01-11-2014,814
01-12-2014,826
01-01-2015,830
01-02-2015,830
01-03-2015,843
01-04-2015,868
01-05-2015,878
01-06-2015,896
01-07-2015,908
01-08-2015,921
01-09-2015,939
01-10-2015,943
01-11-2015,962
01-12-2015,970
01-01-2016,968
01-02-2016,982
01-03-2016,987
01-04-2016,998
01-05-2016,1010
01-06-2016,1016
01-07-2016,1033
01-08-2016,1038
01-09-2016,1038
01-10-2016,1053
01-11-2016,1042
01-12-2016,1057
01-01-2017,1063
01-02-2017,1070
01-03-2017,1071
01-04-2017,1075
01-05-2017,1071
01-06-2017,1073
01-07-2017,1075
01-08-2017,1083
01-09-2017,1093
01-10-2017,1101
01-11-2017,1107
01-12-2017,1100
01-01-2018,1105
01-02-2018,1109
01-03-2018,1121
01-04-2018,1124
01-05-2018,1131
01-06-2018,1126
01-07-2018,1127
01-08-2018,1129
01-09-2018,1135
01-10-2018,1141
01-11-2018,1144
01-12-2018,1148
01-01-2019,1152
01-02-2019,1140
01-03-2019,1125
01-04-2019,1123
01-05-2019,1132
01-06-2019,1142
01-07-2019,1146
01-08-2019,1149
01-09-2019,1161
01-10-2019,1160
01-11-2019,1165
01-12-2019,1177
01-01-2020,1195
01-02-2020,1213
01-03-2020,1215
01-04-2020,1193
01-05-2020,1180
01-06-2020,1183
01-07-2020,1201
01-08-2020,1213
01-09-2020,1218
01-10-2020,1228
01-11-2020,1248
01-12-2020,1262
01-01-2021,1282
01-02-2021,1286
01-03-2021,1308
01-04-2021,1320
01-05-2021,1338
01-06-2021,1372
01-07-2021,1387
01-08-2021,1412
01-09-2021,1437
01-10-2021,1464
01-11-2021,1493
01-12-2021,1526
01-01-2022,1553
01-02-2022,1581
01-03-2022,1631
01-04-2022,1669
01-05-2022,1680
01-06-2022,1688
01-07-2022,1683
01-08-2022,1702
01-09-2022,1698
01-10-2022,1710
01-11-2022,1695
01-12-2022,1696
01-01-2023,1695
01-02-2023,1686
01-03-2023,1680
01-04-2023,1680
01-05-2023,1687
01-06-2023,1692
01-07-2023,1697
01-08-2023,1694
01-09-2023,1676
01-10-2023,1674
