,DATE,Average expenditure 25 - 34,Average expenditure 35 - 44,Average expenditure 45 - 54,Average expenditure 65 - 74,CPI,Employees Construction,GDP,House for sale to sold,Industrial production,Mortgage,Price house under Construction,Private owned house ,PPI,Unemployment Rate ,Unemployment construction,Population,target
0,2003-01,40706,47444,50323,33869,0.4,6704,11174.129,4.0,91.1355,5.916,1049,1654,150.5,5.8,14.0,289609.0,128.461
1,2003-02,40887,47713,50545,34109,0.8,6667,11220.339,4.5,91.2502,5.8425,1044,1688,152.4,5.9,14.0,289823.67,129.355
2,2003-03,41068,47982,50767,34349,0.6,6654,11266.549,4.1,91.0059,5.745,1044,1638,153.7,5.9,11.8,290038.34,130.148
3,2003-04,41249,48251,50989,34589,-0.2,6689,11312.766,4.1,90.4281,5.8125,1043,1662,154.4,6.0,9.3,290253.0,130.884
4,2003-05,41430,48520,51211,34829,-0.2,6706,11397.396,3.9,90.4073,5.484,1047,1733,154.4,6.1,8.4,290493.33,131.735
5,2003-06,41611,48789,51433,35069,0.1,6723,11482.026,3.5,90.5218,5.23,1064,1641,154.4,6.3,7.9,290733.66,132.649
6,2003-07,41792,49058,51655,35309,0.1,6735,11566.669,3.6,90.9896,5.6325,1078,1680,154.4,6.2,7.5,290974.0,133.777
7,2003-08,41973,49327,51877,35549,0.4,6760,11635.189,3.5,90.7858,6.264,1102,1570,154.4,6.1,7.1,291205.67,134.969
8,2003-09,42154,49596,52099,35789,0.3,6783,11703.709,3.8,91.3829,6.1475,1121,1719,154.4,6.1,7.6,291437.34,136.294
9,2003-10,42335,49865,52321,36029,-0.1,6784,11772.234,3.8,91.5005,5.952,1135,1728,154.4,6.0,7.4,291669.0,137.531
10,2003-11,42516,50134,52543,36269,-0.3,6796,11822.634,4.1,92.1265,5.9325,1158,1692,154.4,5.8,7.8,291858.33,138.794
11,2003-12,42697,50403,52765,36509,-0.1,6827,11873.034,4.0,92.1722,5.876,1183,1716,154.4,5.7,9.3,292047.66,140.179
12,2004-01,42898,50801,53022,36684,0.5,6848,11923.447,3.8,92.327,5.7125,1191,1709,154.4,5.7,11.3,292237.0,141.646
13,2004-02,43095,51200,53280,36856,0.5,6838,11986.567,3.7,92.8873,5.635,1197,1718,154.4,5.6,11.6,292449.67,143.192
14,2004-03,43292,51599,53538,37028,0.6,6887,12049.687,3.6,92.5325,5.445,1219,1794,154.4,5.8,11.3,292662.34,145.059
15,2004-04,43489,51998,53796,37200,0.3,6901,12112.815,4.0,92.9096,5.83,1222,1938,155.6,5.6,9.5,292875.0,146.593
16,2004-05,43686,52397,54054,37372,0.6,6948,12176.975,3.8,93.5838,6.27,1233,1893,155.6,5.6,7.4,293117.67,148.186
17,2004-06,43883,52796,54312,37544,0.3,6962,12241.135,3.9,92.8621,6.2875,1229,1857,155.6,5.6,7.0,293360.34,149.85
18,2004-07,44080,53195,54570,37716,-0.2,6977,12305.307,4.5,93.5511,6.056,1247,1881,155.6,5.5,6.4,293603.0,151.338
19,2004-08,44277,53594,54828,37888,0.1,7003,12379.277,4.3,93.6328,5.8675,1238,1911,155.6,5.4,6.0,293846.67,152.633
20,2004-09,44474,53993,55086,38060,0.2,7029,12453.247,4.1,93.7418,5.754,1247,1796,155.6,5.4,6.8,294090.34,154.179
21,2004-10,44671,54392,55344,38232,0.5,7077,12527.214,3.9,94.5671,5.7225,1264,1839,155.6,5.5,6.9,294334.0,155.75
