date,DATE,Average expenditure 25 - 34,Average expenditure 35 - 44,Average expenditure 45 - 54,Average expenditure 65 - 74,CPI,Employees Construction,GDP,House for sale to sold,Industrial production,Mortgage,Price house under Construction,Private owned house ,PPI,Unemployment Rate ,Unemployment construction,Population,target,gdp_per_capita,CPI_TREND,GDP_RATE,GDP_TREND,EMP_CONST_RATE,EMP_CONST_TREND,houses_for_sale_to_sold_rate,HOUSES_S2S_TREND,CPI cum_sum,House for sale to sold cum_sum,Private house under Construction cum_sum,Private owned house cum_sum,Private house under Construction Rate,Private owned house rate,Private house under Construction Rate Trend,Private owned house rate trend
0,2003-01,40706,97767,50323,33869,0.4,6704,11174.129,1.3862943611198906,91.1355,5.916,1049,1654,150.5,5.8,2.6390573296152584,289609.0,128.461,0.03858350051276031,UP,,DOWN,,DOWN,,DOWN,0.4,1.3862943611198906,1049,1654,,,DOWN,DOWN
1,2003-02,40887,98258,50545,34109,0.8,6667,11220.339,1.5040773967762742,91.2502,5.8425,1044,1688,152.4,5.9,2.6390573296152584,289823.67,129.355,0.03871436380610321,UP,,DOWN,,DOWN,,DOWN,1.2000000000000002,2.8903717578961645,2093,3342,,,DOWN,DOWN
2,2003-03,41068,98749,50767,34349,0.6,6654,11266.549,1.410986973710262,91.0059,5.745,1044,1638,153.7,5.9,2.468099531471619,290038.34,130.148,0.03884503338420707,UP,,DOWN,,DOWN,,DOWN,1.8000000000000003,4.301358731606427,3137,4980,,,DOWN,DOWN
3,2003-04,41249,99240,50989,34589,-0.2,6689,11312.766,1.410986973710262,90.4281,5.8125,1043,1662,154.4,6.0,2.2300144001592104,290253.0,130.884,0.03897553513658773,DOWN,,DOWN,,DOWN,,DOWN,1.6000000000000003,5.712345705316689,4180,6642,,,DOWN,DOWN
4,2003-05,41430,99731,51211,34829,-0.2,6706,11397.396,1.3609765531356006,90.4073,5.484,1047,1733,154.4,6.1,2.128231705849268,290493.33,131.735,0.03923462201352437,DOWN,,DOWN,,DOWN,,DOWN,1.4000000000000004,7.073322258452289,5227,8375,,,DOWN,DOWN
5,2003-06,41611,100222,51433,35069,0.1,6723,11482.026,1.252762968495368,90.5218,5.23,1064,1641,154.4,6.3,2.066862759472976,290733.66,132.649,0.03949328055100328,UP,,DOWN,,DOWN,,DOWN,1.5000000000000004,8.326085226947658,6291,10016,,,DOWN,DOWN
6,2003-07,41792,100713,51655,35309,0.1,6735,11566.669,1.2809338454620642,90.9896,5.6325,1078,1680,154.4,6.2,2.0149030205422647,290974.0,133.777,0.039751555121763454,UP,,DOWN,,DOWN,,DOWN,1.6000000000000005,9.607019072409722,7369,11696,,,DOWN,DOWN
7,2003-08,41973,101204,51877,35549,0.4,6760,11635.189,1.252762968495368,90.7858,6.264,1102,1570,154.4,6.1,1.9600947840472698,291205.67,134.969,0.03995522820692331,UP,,DOWN,,DOWN,,DOWN,2.0000000000000004,10.85978204090509,8471,13266,,,DOWN,DOWN
8,2003-09,42154,101695,52099,35789,0.3,6783,11703.709,1.33500106673234,91.3829,6.1475,1121,1719,154.4,6.1,2.028148247292285,291437.34,136.294,0.04015857748358532,UP,,DOWN,,DOWN,,DOWN,2.3000000000000003,12.19478310763743,9592,14985,,,DOWN,DOWN
9,2003-10,42335,102186,52321,36029,-0.1,6784,11772.234,1.33500106673234,91.5005,5.952,1135,1728,154.4,6.0,2.0014800002101243,291669.0,137.531,0.040361622249879145,DOWN,,DOWN,,DOWN,,DOWN,2.2,13.529784174369771,10727,16713,,,DOWN,DOWN
10,2003-11,42516,102677,52543,36269,-0.3,6796,11822.634,1.410986973710262,92.1265,5.9325,1158,1692,154.4,5.8,2.0541237336955462,291858.33,138.794,0.04050812598016305,DOWN,,DOWN,,DOWN,,DOWN,1.9000000000000001,14.940771148080033,11885,18405,,,DOWN,DOWN
11,2003-12,42697,103168,52765,36509,-0.1,6827,11873.034,1.3862943611198906,92.1722,5.876,1183,1716,154.4,5.7,2.2300144001592104,292047.66,140.179,0.04065443975822303,DOWN,,DOWN,,DOWN,,DOWN,1.8,16.327065509199922,13068,20121,,,DOWN,DOWN
12,2004-01,42898,103823,53022,36684,0.5,6848,11923.447,1.33500106673234,92.327,5.7125,1191,1709,154.4,5.7,2.424802725718295,292237.0,141.646,0.04080060704154505,UP,0.06490560205813835,UP,0.021252275659658953,UP,-0.03770216907594542,DOWN,2.3,17.66206657593226,14259,21830,2.609550956885822,2.580088573960353,UP,UP
13,2004-02,43095,104480,53280,36856,0.5,6838,11986.567,1.308332819650179,92.8873,5.635,1197,1718,154.4,5.6,2.451005098112319,292449.67,143.192,0.040986768766058106,UP,0.06605849256466309,UP,0.025325307581186576,UP,-0.13942601488400053,DOWN,2.8,18.97039939558244,15456,23548,1.9993988340062996,1.952471460992813,UP,UP
14,2004-03,43292,105137,53538,37028,0.6,6887,12049.687,1.2809338454620642,92.5325,5.445,1219,1794,154.4,5.8,2.424802725718295,292662.34,145.059,0.04117265993294525,UP,0.06720061451622629,UP,0.034417398966276234,UP,-0.09670006217788805,DOWN,3.4,20.251333241044506,16675,25342,1.6706436625931462,1.627033207340155,UP,UP
15,2004-04,43489,105794,53796,37200,0.3,6901,12112.815,1.3862943611198906,92.9096,5.83,1222,1938,155.6,5.6,2.2512917986064953,292875.0,146.593,0.04135830985915493,UP,0.06833216050892624,UP,0.031201942502193783,UP,-0.017655180893907378,DOWN,3.6999999999999997,21.637627602164397,17897,27280,1.4543218544986063,1.4127407100207066,UP,UP
16,2004-05,43686,106451,54054,37372,0.6,6948,12176.975,1.33500106673234,93.5838,6.27,1233,1893,155.6,5.6,2.0014800002101243,293117.67,148.186,0.041542957816224454,UP,0.06616196521617315,UP,0.03545120033482176,UP,-0.01927040494453271,DOWN,4.3,22.972628668896736,19130,29173,1.2974202837213766,1.2479925462693737,UP,UP
17,2004-06,43883,107108,54312,37544,0.3,6962,12241.135,1.3609765531356006,92.8621,6.2875,1229,1857,155.6,5.6,1.9459101490553132,293360.34,149.85,0.041727300288784776,UP,0.06401914538655788,UP,0.0349323059023475,UP,0.08285100902090657,UP,4.6,24.333605222032336,20359,31030,1.1744030339746474,1.1307706641025461,UP,UP
